IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.145.85,2086,2086,false,SIN,Asia Pacific,Singapore,224,3.56
47.237.8.82,8443,8443,true,SIN,Asia Pacific,Singapore,228,3.34
8.219.83.201,2095,2095,false,SIN,Asia Pacific,Singapore,226,3.18
47.237.92.26,80,80,false,SIN,Asia Pacific,Singapore,224,3.01
47.236.145.85,2083,2083,true,SIN,Asia Pacific,Singapore,237,2.90
47.236.17.193,2086,2086,false,SIN,Asia Pacific,Singapore,233,2.78
47.236.145.85,8443,8443,true,SIN,Asia Pacific,Singapore,216,2.72
47.76.32.108,2095,0,false,SIN,Asia Pacific,Singapore,80,2.68
47.236.17.193,2087,2087,true,SIN,Asia Pacific,Singapore,215,2.66
52.76.201.0,443,443,true,SIN,Asia Pacific,Singapore,75,2.51
47.236.93.176,2096,2096,true,SIN,Asia Pacific,Singapore,230,2.43
8.222.164.209,8880,8880,false,SIN,Asia Pacific,Singapore,215,2.37
47.237.8.82,2083,2083,true,SIN,Asia Pacific,Singapore,219,2.35
47.238.6.102,2082,2082,false,SIN,Asia Pacific,Singapore,73,2.29
8.222.144.50,2087,2087,true,SIN,Asia Pacific,Singapore,230,2.29
47.236.118.216,80,80,false,SIN,Asia Pacific,Singapore,224,2.22
8.219.191.110,2096,2096,true,SIN,Asia Pacific,Singapore,216,2.13
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,218,2.12
47.236.75.113,8080,8080,false,SIN,Asia Pacific,Singapore,224,2.12
47.236.118.216,8080,8080,false,SIN,Asia Pacific,Singapore,230,2.11
47.236.170.54,80,80,false,SIN,Asia Pacific,Singapore,249,2.01
8.219.124.227,2083,2083,true,SIN,Asia Pacific,Singapore,219,1.97
8.219.107.135,8880,8880,false,SIN,Asia Pacific,Singapore,242,1.93
47.236.174.206,2082,2082,false,SIN,Asia Pacific,Singapore,229,1.92
47.236.10.100,2086,2086,false,SIN,Asia Pacific,Singapore,218,1.86
47.236.104.11,2052,2052,false,SIN,Asia Pacific,Singapore,216,1.86
47.236.205.188,2082,2082,false,SIN,Asia Pacific,Singapore,234,1.84
47.236.9.152,2082,2082,false,SIN,Asia Pacific,Singapore,234,1.83
47.236.149.107,8080,8080,false,SIN,Asia Pacific,Singapore,218,1.76
47.236.172.95,8880,8880,false,SIN,Asia Pacific,Singapore,229,1.74
8.219.78.188,8080,8080,false,SIN,Asia Pacific,Singapore,215,1.73
47.237.84.173,2053,2053,true,SIN,Asia Pacific,Singapore,242,1.68
47.237.0.31,2087,2087,true,SIN,Asia Pacific,Singapore,224,1.66
47.237.82.15,8880,8880,false,SIN,Asia Pacific,Singapore,220,1.64
47.236.202.91,2095,2095,false,SIN,Asia Pacific,Singapore,219,1.61
47.237.82.15,2095,2095,false,SIN,Asia Pacific,Singapore,227,1.61
8.222.136.247,80,80,false,SIN,Asia Pacific,Singapore,232,1.60
47.237.95.156,2086,2086,false,SIN,Asia Pacific,Singapore,226,1.59
47.236.5.223,2095,2095,false,SIN,Asia Pacific,Singapore,226,1.58
47.237.14.220,2096,2096,true,SIN,Asia Pacific,Singapore,227,1.57
8.219.142.191,2096,2096,true,SIN,Asia Pacific,Singapore,228,1.54
47.236.93.176,2052,2052,false,SIN,Asia Pacific,Singapore,217,1.54
47.237.95.140,8443,8443,true,SIN,Asia Pacific,Singapore,212,1.50
47.236.80.110,8080,8080,false,SIN,Asia Pacific,Singapore,237,1.49
47.236.165.25,2095,2095,false,SIN,Asia Pacific,Singapore,220,1.48
47.237.95.146,2087,2087,true,SIN,Asia Pacific,Singapore,226,1.47
8.219.77.222,8080,8080,false,SIN,Asia Pacific,Singapore,222,1.45
47.236.167.231,2096,2096,true,SIN,Asia Pacific,Singapore,226,1.42
8.219.198.139,2095,2095,false,SIN,Asia Pacific,Singapore,216,1.35
47.237.8.82,2087,2087,true,SIN,Asia Pacific,Singapore,227,1.35
8.222.144.50,8880,8880,false,SIN,Asia Pacific,Singapore,221,1.34
47.236.149.107,2082,2082,false,SIN,Asia Pacific,Singapore,224,1.31
8.219.122.55,2052,2052,false,SIN,Asia Pacific,Singapore,227,1.29
47.237.94.140,2086,2086,false,SIN,Asia Pacific,Singapore,223,1.29
47.237.94.140,80,80,false,SIN,Asia Pacific,Singapore,216,1.22
8.219.210.57,8880,8880,false,SIN,Asia Pacific,Singapore,219,1.19
47.236.172.71,8080,8080,false,SIN,Asia Pacific,Singapore,232,1.16
47.236.87.246,2095,2095,false,SIN,Asia Pacific,Singapore,216,1.16
8.219.87.30,2086,2086,false,SIN,Asia Pacific,Singapore,226,1.15
